,League,Team,Name,Position,Age,Height,Weight,BMI,Rating
203,EPL,Everton,Morgan Schneiderlin,Midfielder,30,71,165,23.01031541360841,6.42
204,EPL,Everton,Oumar Niasse,Forward,30,72,181,24.545331790123456,5.97
205,EPL,Everton,Theo Walcott,Forward,31,69,150,22.14870825456837,6.41
208,EPL,Leicester,Ryan Bennett,Defender,30,74,198,25.41891891891892,6.39
209,EPL,Leicester,Jonny Evans,Defender,32,74,170,21.824324324324323,6.95
210,EPL,Leicester,Wes Morgan,Defender,36,74,223,28.62837837837838,6.27
212,EPL,Leicester,Marc Albrighton,Midfielder,30,69,163,24.068262969964294,6.51
213,EPL,Leicester,Harvey Barnes,Midfielder,22,71,146,20.36064272961714,6.88
214,EPL,Leicester,Demarai Gray,Midfielder,23,71,163,22.731402499504068,6.44
215,EPL,Leicester,James Justin,Midfielder,22,72,157,21.290702160493826,6.73
216,EPL,Leicester,Nampalys Mendy,Midfielder,27,66,150,24.207988980716255,6.57
217,EPL,Leicester,Dennis Praet,Midfielder,26,71,172,23.986510612973618,6.45
218,EPL,Leicester,Youri Tielemans,Midfielder,23,69,159,23.47763074984247,6.87
220,EPL,Leicester,Ayoze Pérez,Forward,26,70,146,20.9465306122449,6.86
221,EPL,Leicester,Kasper Schmeichel,Goalkeeper,33,75,203,25.37048888888889,6.81
222,EPL,Leicester,Ben Chilwell,Defender,23,70,170,24.389795918367348,6.97
223,EPL,Leicester,Christian Fuchs,Defender,34,74,196,25.16216216216216,6.79
224,EPL,Leicester,Ricardo Pereira,Defender,26,69,154,22.73934047469019,7.5
226,EPL,Leicester,Hamza Choudhury,Midfielder,22,70,141,20.22918367346939,6.42
227,EPL,Leicester,Matty James,Midfielder,28,71,190,26.496726839912714,6.01
228,EPL,Leicester,James Maddison,Midfielder,23,69,161,23.77294685990338,7.34
229,EPL,Leicester,Wilfred Ndidi,Midfielder,23,72,161,21.833140432098766,7.36
231,EPL,Leicester,Kelechi Iheanacho,Forward,24,72,176,23.867283950617285,6.7
232,EPL,Leicester,Jamie Vardy,Forward,33,70,176,25.250612244897958,7.25
233,EPL,Liverpool,Adrián,Goalkeeper,33,75,176,21.996088888888888,6.33
235,EPL,Liverpool,Trent Alexander-Arnold,Defender,21,69,154,22.73934047469019,7.3
237,EPL,Liverpool,Joe Gomez,Defender,23,73,170,22.426346406455245,6.9
238,EPL,Liverpool,Dejan Lovren,Defender,30,74,185,23.75,7.14
239,EPL,Liverpool,Andrew Robertson,Defender,26,70,141,20.22918367346939,7.12
240,EPL,Liverpool,Virgil van Dijk,Defender,28,76,203,24.707236842105264,7.4
242,EPL,Liverpool,Curtis Jones,Midfielder,19,72,150,20.341435185185187,6.24
243,EPL,Liverpool,Adam Lallana,Midfielder,32,68,161,24.47729238754325,6.34
244,EPL,Liverpool,James Milner,Midfielder,34,69,154,22.73934047469019,6.57
245,EPL,Liverpool,Xherdan Shaqiri,Midfielder,28,65,172,28.619171597633137,6.37
246,EPL,Liverpool,Harvey Elliott,Forward,17,67,163,25.526620628202274,6.0
247,EPL,Liverpool,Takumi Minamino,Forward,25,69,148,21.853392144507456,6.12
248,EPL,Liverpool,Mohamed Salah,Forward,27,69,157,23.18231463978156,7.45
249,EPL,Liverpool,Alisson,Goalkeeper,27,76,201,24.463815789473685,6.75
251,EPL,Liverpool,Fabinho,Defender,26,74,172,22.08108108108108,5.58
253,EPL,Liverpool,Joel Matip,Defender,28,77,198,23.476808905380334,7.33
256,EPL,Liverpool,Jordan Henderson,Midfielder,29,72,181,24.545331790123456,7.2
259,EPL,Liverpool,Georginio Wijnaldum,Midfielder,29,69,163,24.068262969964294,6.87
260,EPL,Liverpool,Roberto Firmino,Forward,28,71,168,23.42868478476493,7.26
261,EPL,Liverpool,Sadio Mané,Forward,28,69,152,22.44402436462928,7.5
262,EPL,Liverpool,Divock Origi,Forward,25,73,165,21.76674798273597,6.44
263,EPL,MCFC,Claudio Bravo,Goalkeeper,37,72,176,23.867283950617285,6.39
264,EPL,MCFC,Ederson,Goalkeeper,26,74,185,23.75,6.49
265,EPL,MCFC,João Cancelo,Defender,26,72,159,21.561921296296298,7.06
266,EPL,MCFC,Aymeric Laporte,Defender,26,74,187,24.006756756756758,7.03
267,EPL,MCFC,Nicolás Otamendi,Defender,32,71,183,25.52053164054751,6.77
268,EPL,MCFC,John Stones,Defender,26,74,159,20.41216216216216,6.68
269,EPL,MCFC,Kevin De Bruyne,Midfielder,28,71,154,21.476294386034517,7.92
270,EPL,MCFC,Fernandinho,Midfielder,35,70,154,22.094285714285714,6.91
271,EPL,MCFC,Ilkay Gündogan,Midfielder,29,71,174,24.26542352707796,6.63
274,EPL,MCFC,David Silva,Midfielder,34,67,148,23.17754511026955,7.15
275,EPL,MCFC,Oleksandr Zinchenko,Midfielder,23,69,134,19.786179374081076,6.77
276,EPL,MCFC,Sergio Agüero,Forward,31,68,176,26.757785467128027,7.2
278,EPL,MCFC,Benjamin Mendy,Defender,25,72,185,25.087770061728396,6.82
279,EPL,MCFC,Kyle Walker,Defender,30,70,183,26.254897959183673,6.8
280,EPL,MCFC,Phil Foden,Midfielder,20,67,154,24.117175317442637,6.46
281,EPL,MCFC,Riyad Mahrez,Midfielder,29,70,148,21.2334693877551,7.59
282,EPL,MCFC,Bernardo Silva,Midfielder,25,68,143,21.74070069204152,7.05
283,EPL,MCFC,Raheem Sterling,Midfielder,25,67,154,24.117175317442637,7.19
284,EPL,MCFC,Gabriel Jesus,Forward,23,69,161,23.77294685990338,7.19
287,EPL,MUFC,Eric Bailly,Defender,26,74,170,21.824324324324323,7.07
289,EPL,MUFC,Harry Maguire,Defender,27,76,216,26.289473684210527,7.12
290,EPL,MUFC,Axel Tuanzebe,Defender,22,72,165,22.375578703703702,6.0
291,EPL,MUFC,Bruno Fernandes,Midfielder,25,72,141,19.120949074074073,7.82
292,EPL,MUFC,James Garner,Midfielder,19,72,165,22.375578703703702,6.0
293,EPL,MUFC,Jesse Lingard,Midfielder,27,69,132,19.490863264020163,6.27
294,EPL,MUFC,Nemanja Matic,Midfielder,31,76,190,23.125,7.06
295,EPL,MUFC,Andreas Pereira,Midfielder,24,70,157,22.52469387755102,6.59
296,EPL,MUFC,Tahith Chong,Forward,20,73,165,21.76674798273597,6.02
297,EPL,MUFC,Mason Greenwood,Forward,18,74,143,18.35810810810811,6.47
298,EPL,MUFC,Anthony Martial,Forward,24,71,168,23.42868478476493,7.17
299,EPL,MUFC,David de Gea,Goalkeeper,29,75,157,19.62151111111111,6.49
301,EPL,MUFC,Diogo Dalot,Defender,21,72,168,22.78240740740741,6.18
302,EPL,MUFC,Phil Jones,Defender,28,72,159,21.561921296296298,6.39
303,EPL,MUFC,Victor Lindelöf,Defender,25,74,179,22.97972972972973,6.67
304,EPL,MUFC,Luke Shaw,Defender,24,72,165,22.375578703703702,6.75
305,EPL,MUFC,Aaron Wan-Bissaka,Defender,22,72,159,21.561921296296298,7.21
306,EPL,MUFC,Fred,Midfielder,27,67,141,22.081309868567608,6.95
307,EPL,MUFC,Daniel James,Midfielder,22,71,168,23.42868478476493,6.73
308,EPL,MUFC,Juan Mata,Midfielder,32,67,134,20.98507462686567,6.37
309,EPL,MUFC,Scott McTominay,Midfielder,23,70,143,20.51612244897959,7.1
310,EPL,MUFC,Paul Pogba,Midfielder,27,75,190,23.74577777777778,7.09
311,EPL,MUFC,Angel Gomes,Forward,19,67,134,20.98507462686567,6.09
312,EPL,MUFC,Odion Ighalo,Forward,30,74,183,23.493243243243242,6.16
313,EPL,MUFC,Marcus Rashford,Forward,22,71,172,23.986510612973618,7.34
316,EPL,Newcastle,Ciaran Clark,Defender,30,74,168,21.56756756756757,6.89
317,EPL,Newcastle,Federico Fernández,Defender,31,75,183,22.870933333333333,6.84
318,EPL,Newcastle,Emil Krafth,Defender,25,71,159,22.17357667129538,6.22
319,EPL,Newcastle,Florian Lejeune,Defender,29,75,179,22.371022222222223,6.51
320,EPL,Newcastle,Danny Rose,Defender,29,68,168,25.541522491349482,6.29
321,EPL,Newcastle,Jetro Willems,Defender,26,67,143,22.394519937625308,6.84
322,EPL,Newcastle,Miguel Almirón,Midfielder,26,70,143,20.51612244897959,6.64
323,EPL,Newcastle,Nabil Bentaleb,Midfielder,25,74,172,22.08108108108108,6.68
324,EPL,Newcastle,Valentino Lazaro,Midfielder,24,70,165,23.672448979591838,6.02
325,EPL,Newcastle,Sean Longstaff,Midfielder,22,71,161,22.45248958539972,6.34
326,EPL,Newcastle,Jonjo Shelvey,Midfielder,28,73,176,23.21786451491837,7.08
327,EPL,Newcastle,Dwight Gayle,Forward,29,70,161,23.09857142857143,6.22
328,EPL,Newcastle,Yoshinori Muto,Forward,27,70,159,22.811632653061224,6.05
329,EPL,Newcastle,Martin Dubravka,Goalkeeper,31,75,176,21.996088888888888,6.84
330,EPL,Newcastle,Paul Dummett,Defender,28,72,170,23.053626543209877,6.64
331,EPL,Newcastle,Jamaal Lascelles,Defender,26,74,183,23.493243243243242,6.72
332,EPL,Newcastle,Javier Manquillo,Defender,26,71,165,23.01031541360841,6.62
333,EPL,Newcastle,Fabian Schär,Defender,28,73,183,24.14130230812535,6.85
334,EPL,Newcastle,DeAndre Yedlin,Defender,26,68,161,24.47729238754325,6.41
335,EPL,Newcastle,Christian Atsu,Midfielder,28,68,150,22.80493079584775,6.32
336,EPL,Newcastle,Isaac Hayden,Midfielder,25,74,174,22.33783783783784,6.78
337,EPL,Newcastle,Matt Ritchie,Midfielder,30,68,154,23.413062283737023,6.72
339,EPL,Newcastle,Andy Carroll,Forward,31,76,174,21.17763157894737,6.75
340,EPL,Newcastle,Joelinton,Forward,23,73,179,23.613623569149933,6.73
341,EPL,Newcastle,Allan Saint-Maximin,Forward,23,68,148,22.500865051903116,7.18
342,EPL,Norwich,Ralf Fährmann,Goalkeeper,31,77,209,24.78107606679035,6.08
343,EPL,Norwich,Max Aarons,Defender,20,70,152,21.80734693877551,6.52
344,EPL,Norwich,Grant Hanley,Defender,28,74,179,22.97972972972973,6.77
346,EPL,Norwich,Christoph Zimmermann,Defender,27,76,203,24.707236842105264,6.68
348,EPL,Norwich,Ondrej Duda,Midfielder,25,71,163,22.731402499504068,6.93
350,EPL,Norwich,Kenny McLean,Midfielder,28,72,154,20.883873456790123,6.8
351,EPL,Norwich,Marco Stiepermann,Midfielder,29,75,190,23.74577777777778,6.28
352,EPL,Norwich,Tom Trybull,Midfielder,27,71,159,22.17357667129538,6.58
353,EPL,Norwich,Josip Drmic,Forward,27,72,172,23.324845679012345,6.11
354,EPL,Norwich,Teemu Pukki,Forward,30,71,176,24.544336441182306,6.7
355,EPL,Norwich,Tim Krul,Goalkeeper,32,74,181,23.236486486486488,6.74
356,EPL,Norwich,Michael McGovern,Goalkeeper,35,75,190,23.74577777777778,6.35
357,EPL,Norwich,Sam Byram,Defender,26,71,159,22.17357667129538,6.77
359,EPL,Norwich,Jamal Lewis,Defender,22,70,154,22.094285714285714,6.57
360,EPL,Norwich,Todd Cantwell,Midfielder,22,70,146,20.9465306122449,6.71
361,EPL,Norwich,Ben Godfrey,Midfielder,22,72,163,22.104359567901234,6.5
362,EPL,Norwich,Moritz Leitner,Midfielder,27,69,152,22.44402436462928,6.49
363,EPL,Norwich,Lukas Rupp,Midfielder,29,70,161,23.09857142857143,6.27
364,EPL,Norwich,Alexander Tettey,Midfielder,34,71,150,20.91846855782583,6.6
365,EPL,Norwich,Mario Vrancic,Midfielder,31,74,165,21.18243243243243,6.26
366,EPL,Norwich,Adam Idah,Forward,19,75,183,22.870933333333333,5.94
368,EPL,SheffUtd,Simon Moore,Goalkeeper,30,75,183,22.870933333333333,4.91
369,EPL,SheffUtd,George Baldock,Defender,27,69,148,21.853392144507456,6.81
370,EPL,SheffUtd,John Egan,Defender,27,73,159,20.97522987427285,6.89
371,EPL,SheffUtd,Phil Jagielka,Defender,37,71,192,26.77563975401706,6.52
373,EPL,SheffUtd,Enda Stevens,Defender,29,72,172,23.324845679012345,6.96
374,EPL,SheffUtd,Sander Berge,Midfielder,22,75,194,24.24568888888889,6.75
375,EPL,SheffUtd,John Fleck,Midfielder,28,67,159,24.900200490086878,6.99
376,EPL,SheffUtd,John Lundstram,Midfielder,26,71,163,22.731402499504068,6.77
377,EPL,SheffUtd,Ben Osborn,Midfielder,25,69,165,24.363579080025204,6.21
378,EPL,SheffUtd,Leon Clarke,Forward,35,74,198,25.41891891891892,5.81
379,EPL,SheffUtd,David McGoldrick,Forward,32,72,163,22.104359567901234,6.82
380,EPL,SheffUtd,Billy Sharp,Forward,34,69,154,22.73934047469019,6.35
